"","WLoc","WTeam","LTeam"
"293","V","Indiana Pacers","Chicago Bulls"
"294","H","Detroit Pistons","Atlanta Hawks"
"295","H","Oklahoma City Thunder","Los Angeles Clippers"
"296","V","Orlando Magic","Phoenix Suns"
"297","V","Brooklyn Nets","Portland Trail Blazers"
"298","V","Milwaukee Bucks","San Antonio Spurs"
"299","V","Miami Heat","Utah Jazz"
"300","V","Cleveland Cavaliers","Dallas Mavericks"
"301","H","Denver Nuggets","Orlando Magic"
"302","H","Golden State Warriors","Philadelphia 76ers"
"303","H","Houston Rockets","Memphis Grizzlies"
"304","H","Milwaukee Bucks","Los Angeles Lakers"
"305","H","New Orleans Pelicans","Los Angeles Clippers"
"306","H","New York Knicks","Sacramento Kings"
"307","H","Phoenix Suns","Minnesota Timberwolves"
"308","H","San Antonio Spurs","Chicago Bulls"
"309","H","Utah Jazz","Brooklyn Nets"
"310","H","Washington Wizards","Atlanta Hawks"
"311","H","Boston Celtics","Toronto Raptors"
"312","H","Detroit Pistons","Miami Heat"
"313","V","Houston Rockets","Indiana Pacers"
"314","H","Oklahoma City Thunder","Dallas Mavericks"
"315","H","Golden State Warriors","Orlando Magic"
"316","V","Philadelphia 76ers","Los Angeles Clippers"
"317","H","Milwaukee Bucks","Memphis Grizzlies"
"318","H","New Orleans Pelicans","Atlanta Hawks"
"319","V","Cleveland Cavaliers","New York Knicks"
"320","V","Los Angeles Lakers","Phoenix Suns"
"321","H","Portland Trail Blazers","Denver Nuggets"
"322","V","Minnesota Timberwolves","Utah Jazz"
"323","H","Washington Wizards","Sacramento Kings"
"324","V","Boston Celtics","Brooklyn Nets"
"325","V","San Antonio Spurs","Dallas Mavericks"
"326","V","Toronto Raptors","Houston Rockets"
"327","H","Atlanta Hawks","Sacramento Kings"
"328","V","Cleveland Cavaliers","Charlotte Hornets"
"329","V","Philadelphia 76ers","Los Angeles Lakers"
"330","V","Indiana Pacers","Memphis Grizzlies"
"331","V","Washington Wizards","Miami Heat"
"332","H","Milwaukee Bucks","Detroit Pistons"
"333","H","Minnesota Timberwolves","San Antonio Spurs"
"334","V","Toronto Raptors","New Orleans Pelicans"
"335","H","New York Knicks","Utah Jazz"
"336","H","Oklahoma City Thunder","Chicago Bulls"
"337","H","Portland Trail Blazers","Orlando Magic"
"338","H","Boston Celtics","Golden State Warriors"
"339","V","Houston Rockets","Phoenix Suns"
"340","H","Brooklyn Nets","Utah Jazz"
"341","H","Chicago Bulls","Charlotte Hornets"
"342","H","Cleveland Cavaliers","Los Angeles Clippers"
"343","V","Minnesota Timberwolves","Dallas Mavericks"
"344","H","Denver Nuggets","New Orleans Pelicans"
"345","H","Indiana Pacers","Detroit Pistons"
"346","V","Phoenix Suns","Los Angeles Lakers"
"347","H","Sacramento Kings","Portland Trail Blazers"
"348","H","San Antonio Spurs","Oklahoma City Thunder"
"349","H","Toronto Raptors","New York Knicks"
"350","V","Miami Heat","Washington Wizards"
"351","V","Boston Celtics","Atlanta Hawks"
"352","H","Charlotte Hornets","Los Angeles Clippers"
"353","H","Dallas Mavericks","Milwaukee Bucks"
"354","V","Houston Rockets","Memphis Grizzlies"
"355","V","Utah Jazz","Orlando Magic"
"356","V","Golden State Warriors","Philadelphia 76ers"
"357","H","Portland Trail Blazers","Sacramento Kings"
"358","V","Golden State Warriors","Brooklyn Nets"
"359","H","Los Angeles Lakers","Denver Nuggets"
"360","V","Indiana Pacers","Miami Heat"
"361","V","Detroit Pistons","Minnesota Timberwolves"
"362","H","Phoenix Suns","Chicago Bulls"
"363","H","Toronto Raptors","Washington Wizards"
"364","H","Charlotte Hornets","Minnesota Timberwolves"
"365","V","Boston Celtics","Dallas Mavericks"
"366","V","Cleveland Cavaliers","Detroit Pistons"
"367","V","Portland Trail Blazers","Memphis Grizzlies"
"368","V","Washington Wizards","Milwaukee Bucks"
"369","H","New Orleans Pelicans","Oklahoma City Thunder"
"370","H","New York Knicks","Los Angeles Clippers"
"371","V","Indiana Pacers","Orlando Magic"
"372","H","Philadelphia 76ers","Utah Jazz"
"373","V","Denver Nuggets","Sacramento Kings"
"374","H","San Antonio Spurs","Atlanta Hawks"
"375","H","Los Angeles Lakers","Chicago Bulls"
"376","V","Los Angeles Clippers","Atlanta Hawks"
"377","H","Charlotte Hornets","Washington Wizards"
"378","H","Cleveland Cavaliers","Brooklyn Nets"
"379","H","Houston Rockets","Denver Nuggets"
"380","V","Dallas Mavericks","Memphis Grizzlies"
"381","H","Miami Heat","Boston Celtics"
"382","H","Minnesota Timberwolves","Orlando Magic"
"383","H","New Orleans Pelicans","San Antonio Spurs"
"384","H","New York Knicks","Toronto Raptors"
"385","H","Oklahoma City Thunder","Golden State Warriors"
"386","H","Philadelphia 76ers","Portland Trail Blazers"
"387","V","Milwaukee Bucks","Phoenix Suns"
"388","H","Sacramento Kings","Los Angeles Lakers"
"389","H","Utah Jazz","Chicago Bulls"
"390","H","Atlanta Hawks","New York Knicks"
"391","H","Boston Celtics","Orlando Magic"
"392","V","Portland Trail Blazers","Brooklyn Nets"
"393","H","Cleveland Cavaliers","Charlotte Hornets"
"394","H","Denver Nuggets","Memphis Grizzlies"
"395","H","Golden State Warriors","Chicago Bulls"
"396","H","Indiana Pacers","Toronto Raptors"
"397","V","Miami Heat","Minnesota Timberwolves"
"398","V","Detroit Pistons","Oklahoma City Thunder"
"399","V","New Orleans Pelicans","Phoenix Suns"
"400","V","Toronto Raptors","Atlanta Hawks"
"401","V","San Antonio Spurs","Charlotte Hornets"
"402","H","Dallas Mavericks","Oklahoma City Thunder"
"403","H","Golden State Warriors","New Orleans Pelicans"
"404","H","Houston Rockets","New York Knicks"
"405","V","Boston Celtics","Indiana Pacers"
"406","H","Philadelphia 76ers","Orlando Magic"
"407","V","Los Angeles Clippers","Sacramento Kings"
"408","H","Utah Jazz","Milwaukee Bucks"
"409","V","Portland Trail Blazers","Washington Wizards"
"410","V","Miami Heat","Chicago Bulls"
"411","V","Brooklyn Nets","Memphis Grizzlies"
"412","H","Minnesota Timberwolves","Phoenix Suns"
"413","V","Detroit Pistons","Boston Celtics"
"414","V","Sacramento Kings","Golden State Warriors"
"415","H","Houston Rockets","Brooklyn Nets"
"416","H","Indiana Pacers","Orlando Magic"
"417","H","Los Angeles Clippers","Los Angeles Lakers"
"418","V","Portland Trail Blazers","New York Knicks"
"419","V","Cleveland Cavaliers","Philadelphia 76ers"
"420","H","San Antonio Spurs","Dallas Mavericks"
"421","V","Phoenix Suns","Chicago Bulls"
"422","H","Cleveland Cavaliers","Miami Heat"
"423","V","Washington Wizards","Minnesota Timberwolves"
"424","V","Milwaukee Bucks","Sacramento Kings"
"425","H","Utah Jazz","Denver Nuggets"
"426","V","Brooklyn Nets","Dallas Mavericks"
"427","H","Detroit Pistons","Phoenix Suns"
"428","H","Houston Rockets","Indiana Pacers"
"429","V","Golden State Warriors","Los Angeles Lakers"
"430","V","Minnesota Timberwolves","New Orleans Pelicans"
"431","H","New York Knicks","Miami Heat"
